Masa,UrunAdi,Adet,Fiyat
MASA 1,Pizza,2,150
MASA 1,Kola,1,30
MASA 1,Tatli,1,50
MASA 1,Tatli,1,50
MASA 1,Pizza,2,150
MASA 1,Kola,1,30
MASA 1,Tatli,1,50
MASA 1,Pizza,2,150
MASA 1,Kola,1,30
MASA 1,Tatli,1,50
MASA 1,Pizza,2,150
MASA 1,Kola,1,30
MASA 1,Tatli,1,50
MASA 1,Tatli,1,50
MASA 1,Pizza,2,150
MASA 1,Kola,1,30
MASA 1,Tatli,1,50
MASA 1,Pizza,2,150
MASA 1,Kola,1,30
MASA 1,Tatli,1,50
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 2,Su,3,10
MASA 2,Doner,1,100
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 3,Burger,2,120
MASA 3,Ayran,2,15
MASA 4,Salata,1,40
MASA 4,Salata,1,40
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 5,Pide,1,90
MASA 5,Kola,1,30
MASA 7,Pizza,1,150
MASA 7,Su,1,10
MASA 7,Pizza,1,150
MASA 7,Su,1,10
MASA 9,Tatli,1,50
MASA 9,Tatli,1,50
MASA 9,Tatli,1,50
MASA 9,Tatli,1,50
MASA 9,Tatli,1,50
MASA 9,Tatli,1,50
MASA 9,Tatli,1,50
MASA 9,Tatli,1,50
MASA 10,Burger,1,120
MASA 10,Burger,1,120
MASA 10,Burger,1,120
MASA 10,Burger,1,120
MASA 10,Burger,1,120
MASA 10,Burger,1,120
MASA 10,Burger,1,120
MASA 10,Burger,1,120
MASA 11,Kola,1,30
MASA 11,Kola,1,30
MASA 11,Kola,1,30
MASA 11,Kola,1,30
MASA 12,Doner,2,100
MASA 12,Doner,2,100
MASA 12,Doner,2,100
MASA 12,Doner,2,100
MASA 12,Doner,2,100
MASA 12,Doner,2,100
